author_id,id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
287608175,1516518294861320202,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:45:11.000Z,11,0,0,0
1266641846954057728,1516517890740129804,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:43:35.000Z,11,0,0,0
860819376,1516517800306696194,"Hosted By MFrazz: Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/YkM3jmZ6lS",2022-04-19T20:43:13.000Z,0,0,0,0
297097895,1516517658459394048,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/Zfc2HBgIm7",2022-04-19T20:42:39.000Z,0,0,0,0
1420660507,1516517649965993984,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/i0MMEH69OI https://t.co/WtAuhE1d7i",2022-04-19T20:42:37.000Z,0,0,0,0
904856142,1516516912754221060,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:39:42.000Z,11,0,0,0
1514149588252385286,1516516380106903556,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/vPoD0PbL8g",2022-04-19T20:37:35.000Z,0,0,0,0
98432389,1516516277661143043,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:37:10.000Z,11,0,0,0
915660083069145089,1516515591871475716,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:34:27.000Z,11,0,0,0
2857007766,1516515382642708483,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:33:37.000Z,11,0,0,0
260014669,1516515342629187584,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:33:27.000Z,11,0,0,0
16331010,1516514891489849347,"Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about his Oscars slap. https://t.co/BkvqJRcjAT",2022-04-19T20:31:40.000Z,11,51,69,19
1419666560109719555,1516514733939216385,“Will Smith Has Been Bullying Chris Rock All His Life”: Actor Who Made Bold Claim on Dwyane Wade’s Wife Comments on Oscars Slapgate https://t.co/bRdeTyJR76,2022-04-19T20:31:02.000Z,0,0,0,0
1419666560109719555,1516514732525694988,Zayn Malik’s Favorite Fighter Calls Out Former Interim UFC Champion With Chris Rock and Will Smith’s Oscars Slap Reference https://t.co/u6PkP3yszs,2022-04-19T20:31:02.000Z,0,0,0,0
1478642682851467266,1516514345068474372,RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,2022-04-19T20:29:29.000Z,2,0,0,0
724282982652059648,1516514296544563201,RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,2022-04-19T20:29:18.000Z,2,0,0,0
827770400,1516514214021578757,Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock #mentalhealth,2022-04-19T20:28:58.000Z,2,0,4,0
1514797963373031431,1516512818299908099,Telling my kids this was will smith and Chris rock at the 2022 Oscars https://t.co/kqFwJtuopR,2022-04-19T20:23:25.000Z,0,0,1,0
1288496932130824197,1516506652417171456,RT @Variety: Jada Pinkett Smith's #RedTableTalk is coming back. But it's unclear whether Will Smith's infamous Oscars slap will be discusse…,2022-04-19T19:58:55.000Z,4,0,0,0
2638154123,1516504074614620164,RT @ryangrim: Honor culture is back. We eradicated it for a reason. https://t.co/Cw7QhyIpbD,2022-04-19T19:48:41.000Z,49,0,0,0
1358878482349117442,1516498778924236802,RT @AlainPersian: #ویل_اسمیت، بازیگر معروف آمریکایی، در سایه حواشی مراسم #اسکار ۲۰۲۲ اعلام کرد از عضویت در آکادمی علوم و هنرهای سینمایی اسک…,2022-04-19T19:27:38.000Z,1,0,0,0
2843241058,1516498003711852545,"RT @eldelquijote: Will Smith, Premio Donostia 2022. #Oscars https://t.co/8GF6bte3fN",2022-04-19T19:24:33.000Z,21,0,0,0
392946127,1516497995247890432,RT @Variety: Jada Pinkett Smith's #RedTableTalk is coming back. But it's unclear whether Will Smith's infamous Oscars slap will be discusse…,2022-04-19T19:24:31.000Z,4,0,0,0
1070748296220721152,1516497974565781504,RT @Variety: Jada Pinkett Smith's #RedTableTalk is coming back. But it's unclear whether Will Smith's infamous Oscars slap will be discusse…,2022-04-19T19:24:26.000Z,4,0,0,0
17525171,1516497758701514755,Jada Pinkett Smith's #RedTableTalk is coming back. But it's unclear whether Will Smith's infamous Oscars slap will be discussed. https://t.co/svri75Nokn,2022-04-19T19:23:35.000Z,4,11,21,10
1364579275387592712,1516492542300274694,"RT @Variety: Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",2022-04-19T19:02:51.000Z,5,0,0,0
939921812,1516490956320784397,"About Will Smith and Chris Rock at The Oscars | by William Spivey | Mar, 2022 | Medium - via @pensignal  https://t.co/sgEb2orpsm #Oscars #WillSmith",2022-04-19T18:56:33.000Z,0,0,0,0
19491908,1516490886699536394,"RT @Variety: Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",2022-04-19T18:56:17.000Z,5,0,0,0
732781434608345088,1516486900436987909,"2022? elon musk musk twitter? oscars will smith? Ukraine Russia? Get your head out of the clouds, Watson! the game is afoot!",2022-04-19T18:40:26.000Z,0,0,1,0
1420660507,1516485565322911747,"#JadaPinkettSmith’s ‘#RedTableTalk’ Announces Lineup for New Season, but No Mention of #Oscars Slap https://t.co/HO2hb4BPjh https://t.co/9FzkkgGo8H",2022-04-19T18:35:08.000Z,0,0,0,0
1301669299963211777,1516483880374599683,"NEWS 🔥| New interview with Mark Jansen! He talked about the upcoming Omega Mexico Tour, Will Smith at the #Oscars and more 👀

Link: https://t.co/fYUfh5Wtbt",2022-04-19T18:28:26.000Z,0,1,7,0
227150911,1516483822069686278,RT @nypost: Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk,2022-04-19T18:28:12.000Z,670,0,0,0
32779145,1516482200518426632,"Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/TVVqQWC9WU",2022-04-19T18:21:46.000Z,0,0,0,0
423241704,1516482035774332932,"RT @Variety: Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",2022-04-19T18:21:06.000Z,5,0,0,0
1123117357,1516481770979422209,"Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/TnZW041KgI",2022-04-19T18:20:03.000Z,0,0,0,0
564577739,1516481280254242818,"RT @Variety: Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",2022-04-19T18:18:06.000Z,5,0,0,0
1514149588252385286,1516481263233732613,"Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/wt17RP62eQ #News #JadaPinkettSmith",2022-04-19T18:18:02.000Z,0,0,0,0
17525171,1516480449522110467,"Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",2022-04-19T18:14:48.000Z,5,7,28,5
15676578,1516472317089525760,Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/wKf4hPSOtt,2022-04-19T17:42:29.000Z,1,1,0,0
1475625085813854215,1516471744663625738,RT @HarringtonBoyce: Thank you fortune for the shoutout 🚀👏Slapping our way to a new ATH 🚀https://t.co/baoAUbnoxi#SLAP #OSCARS… https://t.co…,2022-04-19T17:40:13.000Z,1,0,0,0
38412700,1516471387925270528,"RT @LoraineForLA: Note to @LAtimes: readers care about climate -- and they want the Times to cover the protests that are happening

The cli…",2022-04-19T17:38:48.000Z,4,0,0,0
2919035854,1516469486429294600,"RT @TMZ: Now will the infamous Oscars moment get a mention?
https://t.co/1SluZRuofX",2022-04-19T17:31:14.000Z,17,0,0,0
480890339,1516462954476048385,"RT @LoraineForLA: Note to @LAtimes: readers care about climate -- and they want the Times to cover the protests that are happening

The cli…",2022-04-19T17:05:17.000Z,4,0,0,0
1505784484465061888,1516457579303514117,"RT @NaviNous: Will Smith Apologizes for Slapping Oscars Presenter Chris Rock:
""I am embarrassed and my actions were not indicative of the m…",2022-04-19T16:43:55.000Z,1,0,0,0
134826316,1516456104632492034,"RT @LoraineForLA: Note to @LAtimes: readers care about climate -- and they want the Times to cover the protests that are happening

The cli…",2022-04-19T16:38:04.000Z,4,0,0,0
3660566372,1516453574099701762,"RT @LoraineForLA: Note to @LAtimes: readers care about climate -- and they want the Times to cover the protests that are happening

The cli…",2022-04-19T16:28:01.000Z,4,0,0,0
1076238692941885440,1516452262465339393,"Note to @LAtimes: readers care about climate -- and they want the Times to cover the protests that are happening

The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/XEHEp70XTl",2022-04-19T16:22:48.000Z,4,0,6,0
1254591098837762048,1516447352902631432,Will Smith Slaps Chris Rock Into Next Week Onstage At Oscars After Bad Jada Joke https://t.co/GsUndBTMJ2,2022-04-19T16:03:17.000Z,0,0,0,0
1254591098837762048,1516447284015345670,Will Smith Responds To Being Banned From The Oscars https://t.co/qN1lhwdNNe,2022-04-19T16:03:01.000Z,0,0,0,0
1254591098837762048,1516447221369221124,Will Smith Got Banned From The Oscars For The Next Decade https://t.co/Vfix13nXfl,2022-04-19T16:02:46.000Z,0,0,0,0
283604227,1516446553392619521,"Andy Vermaut shares:‘Red Table Talk’ Season 5 Trailer: Is Will Smith Set to Appear On Jada’s Show After Oscar’s Slap?: Following Will Smith’s incident at the Oscars, there will be plenty… https://t.co/6bfj34v9yg Thank you. #AndyVermautLovesHollywood #ThankYouForTheEntertainment https://t.co/QZu9aIfaWH",2022-04-19T16:00:07.000Z,0,0,1,0
1332941354586886144,1516445054012960770,‘Red Table Talk’ Season 5 Trailer: Is Will Smith Set to Appear On Jada’s Show After Oscar’s Slap? https://t.co/vc1I3Lr9ZV,2022-04-19T15:54:09.000Z,0,0,0,0
