id,author_id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1516599849898201092,229536371,"One of Liza Minnelli's longtime collaborators and friends claims the ""Cabaret"" star was ""sabotaged"" during her Oscars appearance with Lady Gaga, in part because she didn't want to be seen in a wheelchair. https://t.co/ySLLGIF4K6 via @HuffPostEnt",2022-04-20T02:09:15.000Z,0,0,0,0
1516599261420408834,1455403059446697984,@gulftoday The #RedTableTalk season 5 trailer has been released -- is Will Smith going to discuss the Oscars debacle? https://t.co/snS1IyShw1 https://t.co/aIoBO9Aeot https://t.co/i3C6f9g9fT,2022-04-20T02:06:55.000Z,0,0,0,0
1516598967148154884,1289983514943913985,RT @ELLEmagazine: Dakota Johnson Looked Like a Princess in a Feathered Gucci Gown at the Vanity Fair #Oscars After-Party https://t.co/Pu41S…,2022-04-20T02:05:45.000Z,7,0,0,0
1516598789372448769,1002293322512297984,"Will Smith’s Post-Slap Oscars Acceptance Speech Spiked Audience by 600,000 Viewers https://t.co/SojB2atNF6",2022-04-20T02:05:03.000Z,0,0,0,0
1516598139532328960,1831919268,"RT @JohnApp63499667: Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/BuOJJmde4e",2022-04-20T02:02:28.000Z,1,0,0,0
1516598006790950921,757250499787751424,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/BuOJJmde4e",2022-04-20T02:01:56.000Z,1,0,0,0
1516596937138470914,1029320749356527616,Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/i7i9iIdR9U via @YouTube the greatest-night in Television history,2022-04-20T01:57:41.000Z,0,0,0,0
1516596801922609160,214924954,Gaga and Liza were my favorite moment of the Oscars… #Igotyou  https://t.co/q3MLaqnPsq,2022-04-20T01:57:09.000Z,0,0,1,0
1516596650885582851,982124664657928192,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/O92Wx2VvPr",2022-04-20T01:56:33.000Z,0,0,0,0
1516596532815958016,536561965,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/8zkKwtyFgV",2022-04-20T01:56:05.000Z,0,0,0,0
1516595757389918209,1385292852645699587,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/CfUPLx6YEu",2022-04-20T01:53:00.000Z,0,0,0,0
1516595753845731331,1488307648001118208,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/rmxyqWPXAW",2022-04-20T01:52:59.000Z,0,0,0,0
1516595343487610888,47086949,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims   https://t.co/bPKjIsjSQq",2022-04-20T01:51:21.000Z,0,0,0,0
1516594725171650572,1516093823981555713,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/Lxwk65kNfb",2022-04-20T01:48:54.000Z,0,0,0,0
1516594417800560647,1243528609593274368,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/rtrMR3uRWR",2022-04-20T01:47:40.000Z,0,0,0,0
1516594093773623298,18058438,RT @DEADLINE: Jada Pinkett Smith’s ‘Red Table Talk’ Returns This Week With First Post-Oscars Episode https://t.co/9oczbIY2Ps,2022-04-20T01:46:23.000Z,9,0,0,0
1516593250940948483,798862788449832961,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/2VWDJ3geIx",2022-04-20T01:43:02.000Z,0,0,0,0
1516592608407076875,2497930419,RT @extratv: Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t…,2022-04-20T01:40:29.000Z,1,0,0,0
1516592057653121024,1431886953998258177,"Liza Minnelli 2022 Oscars ceremony was ‘sabotaged’, claims longtime collaborator https://t.co/Z6sZrWJCNR",2022-04-20T01:38:18.000Z,0,0,0,0
1516591255698001925,37295817,"RT @markcovino: What a shame. They really need to just kill the Oscar’s for good. It’s a total trash heap…

https://t.co/NZKdOQ01hE",2022-04-20T01:35:06.000Z,1,0,0,0
1516591222856593416,17046075,"RT @Phil_Lewis_: Jada Pinkett Smith’s Red Table Talk is returning to Facebook Watch tomorrow

https://t.co/ddSz55DxQs",2022-04-20T01:34:59.000Z,33,0,0,0
1516590929666265089,601647186,"What a shame. They really need to just kill the Oscar’s for good. It’s a total trash heap…

https://t.co/NZKdOQ01hE",2022-04-20T01:33:49.000Z,1,2,6,0
